utc,gsthour,freq,stokesid,ifid,chid,ch,u,v,w,uvdist,subarray,st1,st2,st1name,st2name,amp,phase,weight,sigma
2016-12-24 15:25:44.993591,21.668028451378795,43087500000.0,1,1,0,1,239510696.38985473,120302219.56387392,-378412962.4176934,268026113.8716668,1,3,9,HN,PT,3.293609941978871,2.588857516528107,272.9294128417969,0.06053057919690375
2016-12-24 15:25:44.993591,21.668028451378795,43087500000.0,1,1,0,1,-222874544.26292163,342499145.70205075,33916556.42848604,408630306.3736702,1,3,10,HN,SC,2.1458465556101634,-24.872074029126924,65.46612548828125,0.12359237579434293
2016-12-24 15:25:44.993591,21.668028451378795,43087500000.0,1,1,0,1,652477943.297418,230340021.3169142,-177103754.23333484,691942188.2714661,1,5,6,LA,MK,1.6860335369598418,8.190161134393275,329.44091796875,0.0550948785805934
2016-12-24 15:25:44.993591,21.668028451378795,43087500000.0,1,1,0,1,-105417567.4241501,-79827069.8807315,157848034.38914654,132231708.02560338,1,5,7,LA,NL,4.194858061908019,20.736537205416955,2.5643844604492188,0.624465474048784
2016-12-24 15:25:44.993591,21.668028451378795,43087500000.0,1,1,0,1,145744521.95528436,-16803587.001082722,-54106354.5636689,146710007.21176904,1,5,8,LA,OV,3.8966696264578204,-20.101352631291203,184.07461547851562,0.07370603499691938
2016-12-24 15:25:44.993591,21.668028451378795,43087500000.0,1,1,0,1,14368783.332830336,20026172.333288055,-23433480.638230458,24647708.063598424,1,5,9,LA,PT,9.819454169681489,-30.962781689956607,63.54464340209961,0.12544707126338756
2016-12-24 15:25:44.993591,21.668028451378795,43087500000.0,1,1,0,1,-448016690.7533588,242224102.33532584,388896234.5725365,509304889.96842074,1,5,10,LA,SC,4.127167353701322,38.01788625599384,66.82576751708984,0.12232860473700959
2016-12-24 15:25:44.993591,21.668028451378795,43087500000.0,1,1,0,1,-757895751.1680019,-310167211.42086256,334951307.72961384,818907606.9246784,1,6,7,MK,NL,1.4700894399263118,-40.51928631669454,17.03972625732422,0.24225273742367986
2016-12-24 15:25:44.993591,21.668028451378795,43087500000.0,1,1,0,1,-506733677.81832963,-247143508.13198283,122996950.83632292,563789795.7989964,1,6,8,MK,OV,1.6724828191313628,-58.19904796112835,823.20703125,0.03485342518631633
2016-12-24 15:25:44.993591,21.668028451378795,43087500000.0,1,1,0,1,-638109505.6063362,-210313782.86085686,153670197.45373368,671874711.837264,1,6,9,MK,PT,1.6358099257988983,-8.93110396202371,1283.14599609375,0.027916563975423955
2016-12-24 15:25:44.993591,21.668028451378795,43087500000.0,1,1,0,1,-1100495243.1817424,11884173.189544588,565997953.0260656,1100559409.4995697,1,6,10,MK,SC,0.8545031355602134,-13.662312317249942,466.8415832519531,0.046282332000393014
2016-12-24 15:25:44.993591,21.668028451378795,43087500000.0,1,1,0,1,251162137.4687212,63023462.84244595,-211954252.69983628,258948597.5372525,1,7,8,NL,OV,2.615358201793719,19.530255460600372,10.8500337600708,0.3035878980488148
2016-12-24 15:25:44.993591,21.668028451378795,43087500000.0,1,1,0,1,119786349.75512029,99853059.87547395,-181281639.2580344,155946795.9085758,1,7,9,NL,PT,2.782378313200322,-44.7752679013805,20.56492805480957,0.22051411961202985
2016-12-24 15:25:44.993591,21.668028451378795,43087500000.0,1,1,0,1,-342599011.1208729,322050939.78450465,231048071.94529203,470203030.8676058,1,7,10,NL,SC,4.126499722866951,15.810465910442915,5.552306175231934,0.4243881967438935
2016-12-24 15:25:44.993591,21.668028451378795,43087500000.0,1,1,0,1,-131375723.59455192,36829741.30088824,30672853.88823563,136440502.03030792,1,8,9,OV,PT,4.185069689648629,42.8679762428903,351.3516540527344,0.053349333586237446
2016-12-24 15:25:44.993591,21.668028451378795,43087500000.0,1,1,0,1,-593761565.3634126,259027637.2396812,443001715.5141628,647802526.5131204,1,8,10,OV,SC,1.7640041932094697,44.313684293832694,213.25782775878906,0.06847743895208612
2016-12-24 15:25:44.993591,21.668028451378795,43087500000.0,1,1,0,1,-462385481.0992101,222197960.057842,412329502.8164172,513003183.79637206,1,9,10,PT,SC,3.339911909544277,46.42214918009229,111.4765853881836,0.09471268995179227
2016-12-24 15:26:15.006866,21.676388298169684,43087500000.0,1,1,0,1,-174324850.67930716,-169563963.2015478,374295429.4478679,243189414.2041931,1,2,3,FD,HN,3.5452633914094815,-11.195163595641633,100.2415771484375,0.09987942983433275
2016-12-24 15:26:15.006866,21.676388298169684,43087500000.0,1,1,0,1,50060326.355803415,-69271150.84336793,18841402.586733755,85466535.05328375,1,2,5,FD,LA,9.993507059409009,21.148518474940502,120.285400390625,0.09117873045449806
2016-12-24 15:26:15.006866,21.676388298169684,43087500000.0,1,1,0,1,702146161.6313652,161116150.25730482,-159639825.18377304,720394090.8748444,1,2,6,FD,MK,1.4352158539100313,16.351171277284617,967.1577758789062,0.03215520895162099
2016-12-24 15:26:15.006866,21.676388298169684,43087500000.0,1,1,0,1,-55017931.07590395,-149105818.83140627,176911781.80061984,158932432.02460936,1,2,7,FD,NL,3.6505164600405715,22.888437318266135,11.166374206542969,0.2992567196933489
2016-12-24 15:26:15.006866,21.676388298169684,43087500000.0,1,1,0,1,195691449.76548544,-86064226.32785474,-35572643.26333828,213780716.0731054,1,2,8,FD,OV,3.97636136260997,-22.3551067098129,621.1858520507812,0.040122614223196
2016-12-24 15:26:15.006866,21.676388298169684,43087500000.0,1,1,0,1,64378073.93120778,-49243906.51972936,-4622282.13101768,81052444.33338146,1,2,9,FD,PT,10.958429647914341,-11.248897290132682,154.34193420410156,0.08049298457235239
2016-12-24 15:26:15.006866,21.676388298169684,43087500000.0,1,1,0,1,-397151722.42929506,172920515.2680435,408683437.2139107,433163935.7438722,1,2,10,FD,SC,3.618224142123341,50.662662322073245,138.40513610839844,0.08500097291041855
2016-12-24 15:26:15.006866,21.676388298169684,43087500000.0,1,1,0,1,224384371.53955746,100292451.68852922,-355454175.136435,245778196.87046722,1,3,5,HN,LA,2.9657034375786417,22.424008201051997,45.15327072143555,0.148817975731311
2016-12-24 15:26:15.006866,21.676388298169684,43087500000.0,1,1,0,1,876470980.2511479,330679824.9231321,-533934292.8459059,936776668.066408,1,3,6,HN,MK,1.2609325187516305,38.21985823822268,380.7211608886719,0.05125030944654466
2016-12-24 15:26:15.006866,21.676388298169684,43087500000.0,1,1,0,1,119306290.43523486,20457761.659567796,-197383840.00439504,121047556.5616105,1,3,7,HN,NL,3.3063735136696253,-16.870316824763616,3.0273537635803223,0.5747360159559454
2016-12-24 15:26:15.006866,21.676388298169684,43087500000.0,1,1,0,1,370015963.8197853,83499520.47190268,-409867908.4061431,379320423.1260457,1,3,8,HN,OV,2.5960150272932583,7.320720212628395,108.10370635986328,0.09617887834612927
2016-12-24 15:26:15.006866,21.676388298169684,43087500000.0,1,1,0,1,238702780.34265468,120319675.97496499,-378917515.21429795,267312255.18115366,1,3,9,HN,PT,3.191270396164403,3.2238035713005466,211.7904510498047,0.06871425027363444
2016-12-24 15:26:15.006866,21.676388298169684,43087500000.0,1,1,0,1,-222827208.37499517,342482891.52312845,34387382.60531505,408590865.9995186,1,3,10,HN,SC,2.2198750104943206,-22.387748826008167,73.47220611572266,0.1166644290049048
2016-12-24 15:26:15.006866,21.676388298169684,43087500000.0,1,1,0,1,652085470.5984706,230387373.23460287,-178482698.50119328,691587885.0237105,1,5,6,LA,MK,1.6596149055789196,10.332074469848166,398.876708984375,0.050070353900522335
2016-12-24 15:26:15.006866,21.676388298169684,43087500000.0,1,1,0,1,-105077920.8067001,-79834780.19637409,158070495.42966244,131965759.08190162,1,5,7,LA,NL,2.8263360911642685,6.495654456565449,4.23369836807251,0.4860042234569568
2016-12-24 15:26:15.006866,21.676388298169684,43087500000.0,1,1,0,1,145630983.1492623,-16793004.352416806,-54414410.527163245,146596003.5205633,1,5,8,LA,OV,3.839764013589342,-23.029439520510184,219.9895782470703,0.06742158319951479
2016-12-24 15:26:15.006866,21.676388298169684,43087500000.0,1,1,0,1,14317791.657250563,20027222.282715477,-23463774.885164093,24618870.613854915,1,5,9,LA,PT,9.79938103238803,-30.8014470814067,126.73809051513672,0.08882729156027906
2016-12-24 15:26:15.006866,21.676388298169684,43087500000.0,1,1,0,1,-447211291.3788321,242191481.76914555,389842824.0929678,508581019.0896403,1,5,10,LA,SC,4.193808703623898,36.035904122002314,93.9759521484375,0.10315532049030103
2016-12-24 15:26:15.006866,21.676388298169684,43087500000.0,1,1,0,1,-757164088.6998286,-310222257.6244316,336552232.1451207,818251371.1215162,1,6,7,MK,NL,1.5669590555273627,-30.672101743155697,24.644433975219727,0.20143761744250271
2016-12-24 15:26:15.006866,21.676388298169684,43087500000.0,1,1,0,1,-506454631.71706855,-247180248.34706154,124067746.9695541,563555116.346739,1,6,8,MK,OV,1.681047461093458,-58.196809970857174,1160.56201171875,0.029353900959090504
2016-12-24 15:26:15.006866,21.676388298169684,43087500000.0,1,1,0,1,-637767943.4322972,-210360012.695188,155017899.71496543,671564802.9870099,1,6,9,MK,PT,1.6588658036755166,-8.681518837690263,1751.2086181640625,0.02389632174567067
2016-12-24 15:26:15.006866,21.676388298169684,43087500000.0,1,1,0,1,-1099297499.3463662,11804213.729857428,568323037.9810122,1099360874.1132069,1,6,10,MK,SC,0.8367008286909267,-15.125928178353998,479.94061279296875,0.045646370306989335
2016-12-24 15:26:15.006866,21.676388298169684,43087500000.0,1,1,0,1,250709168.44703954,63041736.7714118,-212484677.5327136,258513728.29805776,1,7,8,NL,OV,2.3561251490366866,15.667970756992299,14.472135543823242,0.26286555979378057
2016-12-24 15:26:15.006866,21.676388298169684,43087500000.0,1,1,0,1,119395912.83597879,99861796.0959006,-181534204.19205722,155652697.76472193,1,7,9,NL,PT,2.985833617041589,-41.231200892551364,22.118419647216797,0.21262922351336172
2016-12-24 15:26:15.006866,21.676388298169684,43087500000.0,1,1,0,1,-342133314.4679641,322026029.533967,231771831.74067563,469846750.08586174,1,7,10,NL,SC,3.152453738255095,15.722092450361798,6.185296058654785,0.4020867426307788
2016-12-24 15:26:15.006866,21.676388298169684,43087500000.0,1,1,0,1,-131313303.7003475,36820223.629551865,30950399.203005947,136377830.29814598,1,8,9,OV,PT,4.191535373606683,42.859779898810544,401.21923828125,0.04992397137024544
2016-12-24 15:26:15.006866,21.676388298169684,43087500000.0,1,1,0,1,-592842547.0340527,258984404.97089097,444256108.5293329,646942970.8961598,1,8,10,OV,SC,1.7765238109540917,43.04319189852823,202.61795043945312,0.07025237987337851
2016-12-24 15:26:15.006866,21.676388298169684,43087500000.0,1,1,0,1,-461529652.0926426,222164297.5571154,413305619.1589144,512217331.6765084,1,9,10,PT,SC,3.413984930310347,46.83696796692057,144.98361206054688,0.0830501731629375
2016-12-24 15:26:44.999542,21.684742407350026,43087500000.0,1,1,0,1,-173503068.88776025,-169576995.39825767,374671102.9559765,242610124.0298343,1,2,3,FD,HN,3.609198088475509,-14.850558998281523,108.5499267578125,0.09598099164707646
2016-12-24 15:26:44.999542,21.684742407350026,43087500000.0,1,1,0,1,50108079.01754839,-69267295.68554662,18728288.56941134,85491390.41106899,1,2,5,FD,LA,10.04807615430911,21.676899489920533,178.72573852539062,0.07480083567664585
2016-12-24 15:26:44.999542,21.684742407350026,43087500000.0,1,1,0,1,701771578.1470897,161170523.21085936,-161225521.3251417,720041169.2723681,1,2,6,FD,MK,1.430583668693881,13.979526388375872,1573.83984375,0.025206917041777525
2016-12-24 15:26:44.999542,21.684742407350026,43087500000.0,1,1,0,1,-54606903.92715137,-149110146.86721396,177035483.47590888,158794678.29644436,1,2,7,FD,NL,2.356071331250769,36.174417900976884,11.356610298156738,0.296739689817791
2016-12-24 15:26:44.999542,21.684742407350026,43087500000.0,1,1,0,1,195617231.96626446,-86049094.23229003,-36014283.25054924,213706686.98087305,1,2,8,FD,OV,3.983598375491911,-22.330985332761934,460.40570068359375,0.04660469325024383
2016-12-24 15:26:44.999542,21.684742407350026,43087500000.0,1,1,0,1,64371329.408740774,-49238913.24878825,-4767876.955030745,81044053.62375645,1,2,9,FD,PT,10.947713462151524,-11.036682537705113,99.88723754882812,0.10005642895307593
2016-12-24 15:26:44.999542,21.684742407350026,43087500000.0,1,1,0,1,-396237641.2667083,172889561.7971373,409582642.7571287,432313623.35116243,1,2,10,FD,SC,3.623569278023785,49.80734673339324,114.89645385742188,0.09329249061968846
2016-12-24 15:26:44.999542,21.684742407350026,43087500000.0,1,1,0,1,223610230.20141977,100309242.86448689,-355937280.11114806,245078516.5100739,1,3,5,HN,LA,2.929487926093376,23.62202919023482,35.02067565917969,0.16898094699362454
2016-12-24 15:26:44.999542,21.684742407350026,43087500000.0,1,1,0,1,875292279.7733258,330744809.57929665,-535824009.4581222,935696908.242424,1,3,6,HN,MK,1.1898079093322778,37.846203091377376,168.90560913085938,0.0769445676894307
2016-12-24 15:26:44.999542,21.684742407350026,43087500000.0,1,1,0,1,118879337.71768615,20466658.17761696,-197640444.43850505,120628276.2587408,1,3,7,HN,NL,3.0797302190231113,-13.885961472602705,2.0267109870910645,0.7024316781188652
2016-12-24 15:26:44.999542,21.684742407350026,43087500000.0,1,1,0,1,369125574.6458052,83527051.58856836,-410664587.59000534,378458000.5821984,1,3,8,HN,OV,2.497799714295469,8.967072428513566,114.7907943725586,0.09333541640183825
2016-12-24 15:26:44.999542,21.684742407350026,43087500000.0,1,1,0,1,237875147.6878862,120337533.13011234,-379432198.82064503,266581521.80407134,1,3,9,HN,PT,3.207254930208217,2.9541084552355645,169.5150604248047,0.07680612514868472
2016-12-24 15:26:44.999542,21.684742407350026,43087500000.0,1,1,0,1,-222777596.2608291,342466509.1061082,34869517.779411964,408550079.2498725,1,3,10,HN,SC,2.30274620395259,-28.28330304152851,48.59588623046875,0.14344989895739263
2016-12-24 15:26:44.999542,21.684742407350026,43087500000.0,1,1,0,1,651663374.8988839,230437915.0749795,-179952659.75911152,691206761.3158213,1,5,6,LA,MK,1.5660841451994716,8.813021582060093,583.840087890625,0.04138596101353694
2016-12-24 15:26:44.999542,21.684742407350026,43087500000.0,1,1,0,1,-104715223.39113352,-79842971.40488422,158306950.45262322,131682109.99454768,1,5,7,LA,NL,3.571700422934704,5.910161747847741,4.322212219238281,0.4810020824416508
2016-12-24 15:26:44.999542,21.684742407350026,43087500000.0,1,1,0,1,145509333.28354138,-16781733.42583425,-54742427.55210032,146473863.36611894,1,5,8,LA,OV,3.904493744902043,-21.492034621300625,180.148681640625,0.07450483476531948
2016-12-24 15:26:44.999542,21.684742407350026,43087500000.0,1,1,0,1,14263247.385611964,20028340.358632468,-23496048.807735696,24588099.631821748,1,5,9,LA,PT,9.793581154596657,-31.202954202620663,75.46121215820312,0.11511664170001337
2016-12-24 15:26:44.999542,21.684742407350026,43087500000.0,1,1,0,1,-446346646.00302666,242156617.03625014,390853917.3766961,507804249.2659867,1,5,10,LA,SC,4.233044147006847,37.156418495666294,61.00929260253906,0.12802712862211973
2016-12-24 15:26:44.999542,21.684742407350026,43087500000.0,1,1,0,1,-756378822.706689,-310280990.6733184,338258920.93195796,817547073.0253841,1,6,7,MK,NL,1.5781636826513308,-37.13339188753699,26.46702766418457,0.1943781365478343
2016-12-24 15:26:44.999542,21.684742407350026,43087500000.0,1,1,0,1,-506154458.389161,-247219441.11576462,125209146.19061872,563302572.1695366,1,6,8,MK,OV,1.673413241006292,-57.84373414870309,1019.8213500976562,0.031313956946573795
2016-12-24 15:26:44.999542,21.684742407350026,43087500000.0,1,1,0,1,-637399900.09102,-210409528.63078058,156457869.2877125,671230811.5504453,1,6,9,MK,PT,1.6644607671686324,-9.651155377856751,3276.163818359375,0.01747097712744242
2016-12-24 15:26:44.999542,21.684742407350026,43087500000.0,1,1,0,1,-1098008834.699504,11718661.886865037,570810600.6061325,1098071367.4960208,1,6,10,MK,SC,0.8296448199380115,-17.497023129207044,676.3674926757812,0.03845108833326451
2016-12-24 15:26:44.999542,21.684742407350026,43087500000.0,1,1,0,1,250224829.18063316,63061228.96230871,-213049053.40203798,258048801.07590845,1,7,8,NL,OV,2.52132492055787,10.786786335296357,12.87967300415039,0.27864264338263844
2016-12-24 15:26:44.999542,21.684742407350026,43087500000.0,1,1,0,1,118978185.2466054,99871117.4026494,-181803199.63238704,155338497.0180584,1,7,9,NL,PT,2.8749158619193436,-36.47287091740417,32.98065185546875,0.17412870991658616
2016-12-24 15:26:44.999542,21.684742407350026,43087500000.0,1,1,0,1,-341633121.7666918,321999388.0691062,232545860.87047756,469464371.1773388,1,7,10,NL,SC,4.200395734234239,15.48611498898059,6.515736103057861,0.3917583454235749
2016-12-24 15:26:44.999542,21.684742407350026,43087500000.0,1,1,0,1,-131245962.6691321,36810052.74540376,31246685.313567676,136310244.29611525,1,8,9,OV,PT,4.139896972552006,43.65545814474749,245.62649536132812,0.06380612849718702
2016-12-24 15:26:44.999542,21.684742407350026,43087500000.0,1,1,0,1,-591856396.0603865,258938271.3151333,445596292.8320691,646020914.451892,1,8,10,OV,SC,1.832467193393474,45.8750520305341,232.8897247314453,0.06552768665963989
2016-12-24 15:26:44.999542,21.684742407350026,43087500000.0,1,1,0,1,-460609062.846582,222128214.562289,414350919.9552857,511372322.7561664,1,9,10,PT,SC,3.317275368651043,46.316697489100136,162.19564819335938,0.07852001993257988
2016-12-24 15:27:15.002518,21.693099385475104,43087500000.0,1,1,0,1,96180160.4509597,-16552843.448795658,-43734661.57641265,97594159.10090464,1,2,4,FD,KP,5.3735467126767675,-50.48771822529496,39.61988067626953,0.1588705570737857
2016-12-24 15:27:15.002518,21.693099385475104,43087500000.0,1,1,0,1,50137261.19972588,-69264859.16168451,18658803.5574949,85506524.16802783,1,2,5,FD,LA,10.009961242171777,20.457052359352012,35.25965881347656,0.16840731324287495
2016-12-24 15:27:15.002518,21.693099385475104,43087500000.0,1,1,0,1,701539659.5468459,161203977.3246767,-162198223.32827944,719822628.3067236,1,2,6,FD,MK,1.5264405280623419,15.478330151618824,308.9120178222656,0.05689611304661171
