,baseline,Ndata,chisq,rchisq_bl,rchisq_total
71,FD-HN-PT-SC,5,1.2862658436492294,0.2572531687298459,0.0009148405715855117
72,FD-KP-LA-MK,1,0.06974815882124903,0.06974815882124903,4.9607509830191344e-05
73,FD-LA-MK-KP,1,2.6092128223237654,2.6092128223237654,0.0018557701439002598
74,FD-KP-LA-OV,1,0.29379673340196955,0.29379673340196955,0.00020895926984492856
75,FD-LA-OV-KP,1,0.24324834244674284,0.24324834244674284,0.00017300735593651695
76,FD-KP-LA-PT,1,0.8901558778535591,0.8901558778535591,0.0006331122886582924
77,FD-LA-PT-KP,1,0.5424576675141884,0.5424576675141884,0.00038581626423484243
78,FD-KP-LA-SC,1,0.13727715770626508,0.13727715770626508,9.763666977685995e-05
79,FD-LA-SC-KP,1,0.22808735265464314,0.22808735265464314,0.00016222429065052856
80,FD-KP-MK-OV,1,0.014359507306701885,0.014359507306701885,1.0213020844026946e-05
81,FD-KP-MK-PT,1,1.1618569794132572,1.1618569794132572,0.0008263563153721601
82,FD-KP-MK-SC,1,3.827500061828007,3.827500061828007,0.0027222617793940303
83,FD-KP-OV-PT,1,0.24233920667257455,0.24233920667257455,0.00017236074443284106
84,FD-KP-OV-SC,1,0.5463224760316282,0.5463224760316282,0.00038856506118892475
85,FD-KP-PT-SC,1,0.5011631682155557,0.5011631682155557,0.00035644606558716624
86,BR-LA-OV-FD,6,29.732470670742334,4.955411778457056,0.021146849694695827
87,LA-MK-OV-PT,1,0.20498556575731247,0.20498556575731247,0.00014579343225982395
88,LA-OV-PT-MK,1,9.19198283455609,9.19198283455609,0.0065376833816188406
89,FD-NL-OV-PT,1,0.881478285695073,0.881478285695073,0.0006269404592425839
90,FD-OV-PT-NL,1,3.5370334292409704,3.5370334292409704,0.0025156710023051
91,BR-LA-NL-FD,4,2.4113525010338606,0.6028381252584651,0.0017150444530824045
92,BR-LA-PT-FD,4,5.839257214642905,1.4598143036607263,0.0041530990146820095
